id.case,responsemode,mergeid,q1,q1a,q1b,q1bb,q1b_dk,q1c,q2,q2a,q2b,q2bb,q2b_dk,q2c,q3,q3a,q3b,q3bb,q3b_dk,q3c,q4a,q4b,q4c,q4d,q4e,q5a,q5b,q5c,q5d,q6,q7,q8_1,q8_2,q8_3,q8_4,q8_5,q8_6,q8_7,q8_8,q8_9,q8b,Q8a,q9a,q9b,q9c,q9d,q9e,q9f,q9g,q9h,q9i,q9j,q9k,q9l,q9m,q9n,q9o,q9p,q9.1,q10,q10a_oth,q10b,q11,q11a,q12,q12aa,q13a2,q13a3,q13ap,q13_sum,q14b,q14b2,q14b3,q14bp,q14_sum,q13_q14_sum,q15_hhold_1,q15_hhold_2,q15_hhold_3,q15_hhold_4,q15_hhold_5,q15_hhold_6,q15_hhold_7,q15_hhold_8,q15_hhold_9,q15_hhold_10,q15_hhold_11,q15_hhold_12,q16,q17,q18,q18_oth,q19,q20,q21,q22,q23,q24,q25,q26,q27,q28a_1,q28a_2,q28a_3,q28a_4,q28a_5,q28a_6,q28a_7,q28a_8,q28a_9,q28a_10,q28a_oth,q28b,q29,q30_1,q30_2,q30_3,q30_4,q30_oth,q31_1,q31_2,q31_3,q31_4,q31_5,q32_1,q32_2,q32_3,q32_4,q32_5,q32_6,q32_7,q32_8,q32_9,q33,q33a,q33dk,q34,mins_activ_bkdwn,mins_any_bkdwn,activity_level,mins_total_activ,mins_total_any,lsoa_name,location,weight,inactive1,inactive2,walk10minsbr,cycle10minsbr,sports10minsbr,dayswalk_rbr,dayscycle_rbr,dayssport_rbr,ns_sec,ns_sec_summ,dep_children,no_dep_children,receive_oow_ben,low_income_fam,workage_ndc_bens,original_area_code,postcode_clean,postcode_lsoa21cd,postcode_lsoa21nm,postcode_ward24nm,postcode_lad24nm,postcode_lookup_status,area_interest_code,area_assignment_source,area_interest_name,broad_area_name,area_classification_changed,area_correction_reason,area_uncertainty_reason,area_classification_uncertain,area_validation_note
00486f03-815d-4831-8d2b-a0ce1af11788,3.0,60785.0,2.0,,,,,,2.0,,,,,,1.0,1.0,2,0,,1.0,2.0,5.0,1.0,1.0,2.0,9.0,9.0,9.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"Disability sport / fitness organisations and people, and other wheelchair users and people with my disabilities (I am an autistic wheelchair user with fibromyalgia and ME / CFS).",,2.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,Broadclyst Leisure Centre,1.0,Female,1.0,40,,1.0,0.0,0.0,2.0,,2.0,0.0,0.0,0.0,,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,,,,1.0,2.0,2.0,,,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,EX2 8PW,0.0,0.0,0.0,1.0,"Nothing - I am a manual wheelchair user and it would be physically impossible due to distance and topography to wheel to / from work. I find handbikes extremely difficult to use, I have nowhere to store one, my workplace has nowhere to store one and it would be impossible to use it round my workplace, as well as it being impossible to tow my wheelchair behind a handbike.",,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,"7,000.00",,EX1 3AB,5.0,5.0,2.0,120.0,120.0,14.0,1.0,0.924037,,,2.0,2.0,1.0,8.0,8.0,1.0,3.0,2.0,,1.0,2.0,2.0,2.0,14.0,EX1 3AB,E01020036,Exeter 007B,Heavitree,Exeter,matched,14.0,authoritative_postcode_consensus,Exeter: Hamlins Lane and Honeylands area,Mincinglake,False,,,False,
0065efaf-f27a-4122-b536-abf0b1ea0913,1.0,9618.0,1.0,2.0,0,40,,1.0,2.0,,,,,,1.0,1.0,,10,,1.0,1.0,1.0,1.0,1.0,1.0,10.0,10.0,10.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Google it,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,5.0,2.0,3.0,Woodbury common,2.0,Male,1.0,33,,1.0,0.0,0.0,1.0,,1.0,0.0,0.0,0.0,,0.0,1.0,,,,,,,,,,,,,2.0,,1.0,,,,1.0,1.0,3.0,,,6.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,EX2 7LL,0.0,0.0,0.0,1.0,N A  van full of tools,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,"2,800.00",,EX5 7HU,4.0,4.0,2.0,90.0,90.0,21.0,2.0,0.758905,,,1.0,2.0,1.0,2.0,8.0,1.0,5.0,2.0,,1.0,2.0,2.0,2.0,21.0,EX5 7HU,E01034624,East Devon 022A,Cranbrook,East Devon,matched,21.0,authoritative_non_exeter_postcode,Cranbrook,Cranbrook,False,,,False,
0067f207-733c-4fa8-8672-c1a0d121293b,2.0,8321.0,1.0,3.0,,30,,1.0,2.0,,,,,,1.0,3.0,1,,,1.0,2.0,2.0,1.0,1.0,2.0,9.0,9.0,9.0,9.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,I am motivated to do my own physical activities and setting up my own classes.,,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,,2.0,1.0,1.0,5.0,2.0,1.0,,2.0,Male,1.0,20,,1.0,0.0,1.0,3.0,,4.0,,,,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,1.0,,,,1.0,2.0,2.0,,,9.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,Sowton,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,2.0,EX5 7AD,6.0,6.0,3.0,270.0,270.0,21.0,2.0,0.758905,,,1.0,2.0,1.0,3.0,8.0,3.0,10.0,5.0,,,3.0,3.0,3.0,21.0,EX5 7AD,E01034627,East Devon 022D,Cranbrook,East Devon,matched,21.0,authoritative_non_exeter_postcode,Cranbrook,Cranbrook,False,,,False,
00a1b94f-760c-444b-8e1f-b2fa44874874,2.0,8582.0,2.0,,,,,,4.0,,,,,,1.0,7.0,1,,,1.0,5.0,3.0,1.0,1.0,2.0,3.0,9.0,5.0,1.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Physiotherapist. MS therapy centre SW,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,5.0,1.0,2.0,Pinhole park station. Broadclyst park,1.0,Female,1.0,60,,1.0,0.0,1.0,1.0,,2.0,,,,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,,,1.0,1.0,2.0,2.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,817.00,,EX5 7DN,7.0,7.0,3.0,420.0,420.0,21.0,2.0,0.286702,,,2.0,3.0,1.0,8.0,9.0,7.0,3.0,2.0,,,1.0,3.0,3.0,21.0,EX5 7DN,E01034627,East Devon 022D,Cranbrook,East Devon,matched,21.0,authoritative_non_exeter_postcode,Cranbrook,Cranbrook,False,,,False,
00a20603-1d79-4b04-8d58-9f896fb4f3af,1.0,7838.0,1.0,5.0,,45,,2.0,2.0,,,,,,2.0,,,,,,2.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,7.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Dk,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,Female,1.0,35,,4.0,0.0,0.0,1.0,,1.0,2.0,1.0,0.0,,3.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,9.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,2.0,EX1 3PA,1.0,6.0,1.0,0.0,225.0,19.0,1.0,0.924037,1.0,2.0,2.0,2.0,2.0,8.0,8.0,8.0,8.0,3.0,1.0,,3.0,3.0,2.0,19.0,EX1 3PA,E01020039,Exeter 007D,Mincinglake and Whipton,Exeter,matched,19.0,authoritative_postcode_consensus,Exeter: Whipton - Leypark Road and Bramley Avenue area,Whipton,False,,,False,
00a90b9e-5489-47d0-92ef-f039140f51b8,2.0,5424.0,1.0,3.0,0,25,,2.0,,,,,,,2.0,,,,,,2.0,2.0,4.0,3.0,2.0,5.0,8.0,8.0,5.0,2.0,3.0,,,,,,,,,,,,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,3.0,2.0,2.0,2.0,2.0,,1.0,Female,1.0,46,,1.0,1.0,0.0,1.0,,2.0,0.0,0.0,1.0,,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,1.0,,,,2.0,,,2.0,2.0,3.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,EX4 1AP,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,"7,500.00",,EX4 1SU,1.0,4.0,1.0,0.0,75.0,13.0,1.0,0.924037,1.0,2.0,2.0,3.0,2.0,8.0,9.0,8.0,1.0,1.0,1.0,,2.0,2.0,2.0,13.0,EX4 1SU,E01019981,Exeter 012E,Exwick,Exeter,matched,13.0,authoritative_postcode_consensus,Exeter: Exwick - Redhills area,Redhills,False,,,False,
00d824a2-d2dc-41f2-bc41-91fdb0fd1502,1.0,7925.0,1.0,7.0,1,,,2.0,2.0,,,,,,2.0,,,,,,1.0,1.0,2.0,1.0,1.0,6.0,6.0,6.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,Jailsea park,2.0,Male,1.0,47,,4.0,0.0,0.0,2.0,,2.0,,,,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,1.0,,,,1.0,1.0,1.0,,,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,Exeter,1.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,2.0,EX1 3QB,1.0,7.0,1.0,0.0,420.0,19.0,1.0,1.516186,1.0,2.0,2.0,2.0,2.0,8.0,8.0,8.0,2.0,1.0,,,2.0,2.0,2.0,19.0,EX1 3QB,E01020039,Exeter 007D,Mincinglake and Whipton,Exeter,matched,19.0,authoritative_postcode_consensus,Exeter: Whipton - Leypark Road and Bramley Avenue area,Whipton,False,,,False,
00f2ee5d-5697-43f2-adb2-7abf50ef6c3b,2.0,1698.0,1.0,2.0,,10,2.0,1.0,2.0,,,,,,2.0,,,,,,2.0,2.0,4.0,4.0,2.0,7.0,8.0,6.0,7.0,4.0,4.0,,,,,,,,,,,,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,,2.0,1.0,3.0,1.0,3.0,1.0,,5.0,Prefer not to say,3.0,,2.0,8.0,,,,1.0,0.0,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,,2.0,,,,1.0,2.0,4.0,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,EX2 6DR,2.0,2.0,1.0,20.0,20.0,5.0,1.0,1.106103,4.0,3.0,1.0,2.0,2.0,2.0,8.0,8.0,10.0,5.0,,,3.0,3.0,3.0,5.0,EX2 6DR,E01020015,Exeter 013E,Priory,Exeter,matched,5.0,authoritative_postcode_consensus,Exeter: Burnthouse Lane area (Trees),Wonford,False,,,False,
00fbdae4-abe8-4418-a673-cc549cc7d36b,1.0,6424.0,1.0,6.0,0,30,,2.0,2.0,,,,,,1.0,3.0,10,,,1.0,2.0,2.0,3.0,1.0,1.0,10.0,10.0,11.0,4.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,4.0,5.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,4.0,2.0,1.0,1.0,4.0,2.0,Na,2.0,Male,1.0,32,,1.0,0.0,0.0,2.0,,2.0,1.0,1.0,0.0,,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,,,,1.0,2.0,1.0,,,6.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,Exeter,1.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,EX1 2EU,9.0,9.0,3.0,1800.0,1980.0,16.0,1.0,3.080834,,,2.0,2.0,1.0,8.0,8.0,3.0,5.0,2.0,1.0,,2.0,2.0,2.0,16.0,EX1 2EU,E01019995,Exeter 008B,Newtown and St Leonard's,Exeter,matched,16.0,authoritative_postcode_consensus,Exeter: Sidwell Street and Clifton Road area,Newtown,False,,,False,
010a84dd-783a-4e05-8d80-0528b134fbcb,1.0,7880.0,2.0,,,,,,2.0,,,,,,2.0,,,,,,5.0,5.0,5.0,5.0,5.0,6.0,6.0,4.0,7.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,To old,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,Female,1.0,81,,1.0,0.0,0.0,1.0,,1.0,0.0,0.0,0.0,,0.0,1.0,,,,,,,,,,,,,2.0,,8.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,2.0,EX1 3QA,1.0,1.0,1.0,0.0,0.0,19.0,1.0,0.547293,1.0,1.0,2.0,2.0,2.0,8.0,8.0,8.0,8.0,3.0,,1.0,1.0,2.0,2.0,19.0,EX1 3QA,E01020039,Exeter 007D,Mincinglake and Whipton,Exeter,matched,19.0,authoritative_postcode_consensus,Exeter: Whipton - Leypark Road and Bramley Avenue area,Whipton,False,,,False,
