variable_name,variable_label,value_label_set,value_labels
id.case,"ID,case - unique identifier - LAL 2025",,
responsemode,ResponseMode,labels0,1.0 = Face-to-face interview; 2.0 = Postal; 3.0 = Online
mergeid,MergeID_Unique numeric ID,,
q1,"In the past 7 days, have you done a continuous walk lasting at least 10 minutes?",labels1,1.0 = Yes; 2.0 = No; 3.0 = Don’t know; 4.0 = Prefer not to say
q1a,"In the past 7 days, on how many days did you do a walk lasting at least 10 minutes?",labels2,1.0 = 1; 2.0 = 2; 3.0 = 3; 4.0 = 4; 5.0 = 5; 6.0 = 6; 7.0 = 7; 8.0 = Don’t know; 9.0 = Prefer not to say
q1b,Hours:,,
q1bb,Minutes:,,
q1b_dk,(no var label),labels3,1.0 = Don't know; 2.0 = Prefer not to say
q1c,Was the effort you put into walking usually enough to raise your breathing rate?,labels4,1.0 = Yes; 2.0 = No; 3.0 = Don’t know; 4.0 = Prefer not to say
q2,"In the past 7 days, have you done a cycle ride?",labels1,1.0 = Yes; 2.0 = No; 3.0 = Don’t know; 4.0 = Prefer not to say
q2a,"In the past 7 days, on how many days did you do a cycle ride?",labels2,1.0 = 1; 2.0 = 2; 3.0 = 3; 4.0 = 4; 5.0 = 5; 6.0 = 6; 7.0 = 7; 8.0 = Don’t know; 9.0 = Prefer not to say
q2b,Hours:,,
q2bb,Minutes:,,
q2b_dk,(no var label),labels3,1.0 = Don't know; 2.0 = Prefer not to say
q2c,Was the effort you put into cycling usually enough to raise your breathing rate?,labels4,1.0 = Yes; 2.0 = No; 3.0 = Don’t know; 4.0 = Prefer not to say
q3,"In the past 7 days, have you done a sport, fitness activity (such as gym or fitness classes), or dance?",labels5,1.0 = Yes; 2.0 = No; 3.0 = Don’t know; 4.0 = Prefer not to say
q3a,"In the past 7 days, on how many days did you do sport, fitness activity (such as gym or fitness classes), or dance?",labels2,1.0 = 1; 2.0 = 2; 3.0 = 3; 4.0 = 4; 5.0 = 5; 6.0 = 6; 7.0 = 7; 8.0 = Don’t know; 9.0 = Prefer not to say
q3b,Hours:,,
q3bb,Minutes:,,
q3b_dk,(no var label),labels3,1.0 = Don't know; 2.0 = Prefer not to say
q3c,"Was the effort you put into sport, fitness activities, or dance usually enough to raise your breathing rate?",labels4,1.0 = Yes; 2.0 = No; 3.0 = Don’t know; 4.0 = Prefer not to say
q4a,I feel that I have the ability to be physically active,labels6,1.0 = Strongly agree; 2.0 = Agree; 3.0 = Neither agree nor disagree; 4.0 = Disagree; 5.0 = Strongly disagree; 6.0 = Don't know; 7.0 = Prefer not to say
q4b,i I feel that I have the opportunity to be physically active,labels6,1.0 = Strongly agree; 2.0 = Agree; 3.0 = Neither agree nor disagree; 4.0 = Disagree; 5.0 = Strongly disagree; 6.0 = Don't know; 7.0 = Prefer not to say
q4c,I find exercise enjoyable and satisfying,labels6,1.0 = Strongly agree; 2.0 = Agree; 3.0 = Neither agree nor disagree; 4.0 = Disagree; 5.0 = Strongly disagree; 6.0 = Don't know; 7.0 = Prefer not to say
q4d,It is important to me to exercise regularly,labels6,1.0 = Strongly agree; 2.0 = Agree; 3.0 = Neither agree nor disagree; 4.0 = Disagree; 5.0 = Strongly disagree; 6.0 = Don't know; 7.0 = Prefer not to say
q4e,I feel guilty when I don’t exercise,labels6,1.0 = Strongly agree; 2.0 = Agree; 3.0 = Neither agree nor disagree; 4.0 = Disagree; 5.0 = Strongly disagree; 6.0 = Don't know; 7.0 = Prefer not to say
q5a,How satisfied are you with your life nowadays?,labels7,1.0 = 0=Not at all; 2.0 = 1; 3.0 = 2; 4.0 = 3; 5.0 = 4; 6.0 = 5; 7.0 = 6; 8.0 = 7; 9.0 = 8; 10.0 = 9; 11.0 = 10=Completely; 12.0 = Prefer not to say
